Route,Day,Stop 1,Stop 1 Time,Stop 2,Stop 2 Time,Stop 3,Stop 3 Time,Stop 4,Stop 4 Time,Stop 5,Stop 5 Time
Westside Outbound,Monday-Friday,Union,7:15 AM,Floral & Main,7:24 AM,Main & Murray,7:30 AM,UDC,7:40 AM,,
Westside Outbound,Monday-Friday,Union,7:30 AM,Floral & Main,7:39 AM,Main & Murray,7:45 AM,UDC,7:55 AM,,
Westside Outbound,Monday-Friday,Union,7:50 AM,Floral & Main,7:59 AM,Main & Murray,8:05 AM,UDC,8:15 AM,,
Westside Outbound,Monday-Friday,Union,8:05 AM,Floral & Main,8:14 AM,Main & Murray,8:20 AM,UDC,8:30 AM,,
Westside Outbound,Monday-Friday,Union,8:55 AM,Floral & Main,9:04 AM,Main & Murray,9:10 AM,UDC,9:20 AM,,
Westside Outbound,Monday-Friday,Union,9:10 AM,Floral & Main,9:19 AM,Main & Murray,9:25 AM,UDC,9:35 AM,,
Westside Outbound,Monday-Friday,Union,9:30 AM,Floral & Main,9:39 AM,Main & Murray,9:45 AM,UDC,9:55 AM,,
Westside Outbound,Monday-Friday,Union,9:45 AM,Floral & Main,9:54 AM,Main & Murray,10:00 AM,UDC,10:10 AM,,
Westside Outbound,Monday-Friday,Union,10:35 AM,Floral & Main,10:44 AM,Main & Murray,10:50 AM,UDC,11:00 AM,,
Westside Outbound,Monday-Friday,Union,10:50 AM,Floral & Main,10:59 AM,Main & Murray,11:05 AM,UDC,11:15 AM,,
Westside Outbound,Monday-Friday,Union,11:10 AM,Floral & Main,11:19 AM,Main & Murray,11:25 AM,UDC,11:35 AM,,
Westside Outbound,Monday-Friday,Union,11:25 AM,Floral & Main,11:34 AM,Main & Murray,11:40 AM,UDC,11:50 AM,,
Westside Outbound,Monday-Friday,Union,12:00 PM,Floral & Main,12:09 PM,Main & Murray,12:15 PM,UDC,12:25 PM,,
Westside Outbound,Monday-Friday,Union,12:15 PM,Floral & Main,12:24 PM,Main & Murray,12:30 PM,UDC,12:40 PM,,
Westside Outbound,Monday-Friday,Union,1:05 PM,Floral & Main,1:14 PM,Main & Murray,1:20 PM,UDC,1:30 PM,,
Westside Outbound,Monday-Friday,Union,2:30 PM,Floral & Main,2:39 PM,Main & Murray,2:45 PM,UDC,2:55 PM,,
Westside Outbound,Monday-Friday,Union,2:45 PM,Floral & Main,2:54 PM,Main & Murray,3:00 PM,UDC,3:10 PM,,
Westside Outbound,Monday-Friday,Union,3:45 PM,Floral & Main,3:54 PM,Main & Murray,4:00 PM,UDC,4:10 PM,,
Westside Outbound,Monday-Friday,Union,4:10 PM,Floral & Main,4:19 PM,Main & Murray,4:25 PM,UDC,4:35 PM,,
Westside Outbound,Monday-Friday,Union,5:10 PM,Floral & Main,5:19 PM,Main & Murray,5:25 PM,UDC,5:35 PM,,
Westside Outbound,Monday-Friday,Union,5:50 PM,Floral & Main,5:59 PM,Main & Murray,6:05 PM,UDC,6:15 PM,,
Westside Outbound,Monday-Friday,Union,6:35 PM,Floral & Main,6:44 PM,Main & Murray,6:50 PM,UDC,7:00 PM,,
Westside Outbound,Monday-Friday,Union,6:45 PM,Floral & Main,6:54 PM,Main & Murray,7:00 PM,UDC,7:10 PM,,
Westside Outbound,Monday-Friday,Union,7:30 PM,Floral & Main,7:39 PM,Main & Murray,7:45 PM,UDC,7:55 PM,,
Westside Outbound,Monday-Friday,Union,7:45 PM,Floral & Main,7:54 PM,Main & Murray,8:00 PM,UDC,8:10 PM,,
Westside Outbound,Monday-Friday,Union,8:30 PM,Floral & Main,8:39 PM,Main & Murray,8:45 PM,UDC,8:55 PM,,
Westside Outbound,Monday-Friday,Union,9:15 PM,Floral & Main,9:24 PM,Main & Murray,9:30 PM,UDC,9:40 PM,,
Westside Outbound,Monday-Friday,Union,9:45 PM,Floral & Main,9:54 PM,Main & Murray,10:00 PM,UDC,10:10 PM,,
Westside Outbound,Monday-Friday,Union,10:45 PM,Floral & Main,10:54 PM,Main & Murray,11:00 PM,UDC,11:10 PM,,
Westside Outbound,Monday-Friday,Union,11:00 PM,Floral & Main,11:09 PM,Main & Murray,11:15 PM,UDC,11:25 PM,,
Westside Outbound,Monday-Friday,Union,11:45 PM,Floral & Main,11:54 PM,Main & Murray,12:00 AM,UDC,12:10 AM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,7:40 AM,Leroy & Murray,7:43 AM,Riverside & Columbus,7:49 AM,Return to Campus,8:00 AM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,7:55 AM,Leroy & Murray,7:58 AM,Riverside & Columbus,8:04 AM,Return to Campus,8:15 AM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,8:15 AM,Leroy & Murray,8:18 AM,Riverside & Columbus,8:24 AM,Return to Campus,8:35 AM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,8:30 AM,Leroy & Murray,8:33 AM,Riverside & Columbus,8:39 AM,Return to Campus,8:50 AM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,9:20 AM,Leroy & Murray,9:23 AM,Riverside & Columbus,9:29 AM,Return to Campus,9:40 AM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,9:35 AM,Leroy & Murray,9:38 AM,Riverside & Columbus,9:44 AM,Return to Campus,9:55 AM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,9:55 AM,Leroy & Murray,9:58 AM,Riverside & Columbus,10:04 AM,Return to Campus,10:15 AM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,10:05 AM,Leroy & Murray,10:08 AM,Riverside & Columbus,10:14 AM,Return to Campus,10:25 AM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,11:00 AM,Leroy & Murray,11:03 AM,Riverside & Columbus,11:09 AM,Return to Campus,11:20 AM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,11:15 AM,Leroy & Murray,11:18 AM,Riverside & Columbus,11:24 AM,Return to Campus,11:35 AM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,11:35 AM,Leroy & Murray,11:38 AM,Riverside & Columbus,11:44 AM,Return to Campus,11:55 AM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,11:50 AM,Leroy & Murray,11:53 AM,Riverside & Columbus,11:59 AM,Return to Campus,12:10 PM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,12:25 PM,Leroy & Murray,12:28 PM,Riverside & Columbus,12:34 PM,Return to Campus,12:45 PM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,12:40 PM,Leroy & Murray,12:43 PM,Riverside & Columbus,12:49 PM,Return to Campus,1:00 PM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,1:30 PM,Leroy & Murray,1:33 PM,Riverside & Columbus,1:39 PM,Return to Campus,1:50 PM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,2:55 PM,Leroy & Murray,2:58 PM,Riverside & Columbus,3:04 PM,Return to Campus,3:15 PM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,3:10 PM,Leroy & Murray,3:13 PM,Riverside & Columbus,3:19 PM,Return to Campus,3:30 PM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,4:10 PM,Leroy & Murray,4:13 PM,Riverside & Columbus,4:19 PM,Return to Campus,4:30 PM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,4:35 PM,Leroy & Murray,4:38 PM,Riverside & Columbus,4:44 PM,Return to Campus,4:55 PM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,5:35 PM,Leroy & Murray,5:38 PM,Riverside & Columbus,5:44 PM,Return to Campus,5:55 PM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,6:15 PM,Leroy & Murray,6:18 PM,Riverside & Columbus,6:24 PM,Return to Campus,6:35 PM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,7:00 PM,Leroy & Murray,7:03 PM,Riverside & Columbus,7:09 PM,Return to Campus,7:20 PM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,7:10 PM,Leroy & Murray,7:13 PM,Riverside & Columbus,7:19 PM,Return to Campus,7:30 PM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,7:55 PM,Leroy & Murray,7:58 PM,Riverside & Columbus,8:04 PM,Return to Campus,8:15 PM,,
