Route,Day,Stop 1,Stop 1 Time,Stop 2,Stop 2 Time,Stop 3,Stop 3 Time,Stop 4,Stop 4 Time,Stop 5,Stop 5 Time
Westside Outbound,Monday-Friday,Union,7:15 AM,Floral & Main,7:24 AM,Main & Murray,7:30 AM,UDC,7:40 AM,,
Westside Outbound,Monday-Friday,Union,7:50 AM,Floral & Main,7:59 AM,Main & Murray,8:05 AM,UDC,8:15 AM,,
Westside Outbound,Monday-Friday,Union,8:20 AM,Floral & Main,8:29 AM,Main & Murray,8:35 AM,UDC,8:45 AM,,
Westside Outbound,Monday-Friday,Union,8:55 AM,Floral & Main,9:04 AM,Main & Murray,9:10 AM,UDC,9:20 AM,,
Westside Outbound,Monday-Friday,Union,9:45 AM,Floral & Main,9:54 AM,Main & Murray,10:00 AM,UDC,10:10 AM,,
Westside Outbound,Monday-Friday,Union,10:00 AM,Floral & Main,10:09 AM,Main & Murray,10:15 AM,UDC,10:25 AM,,
Westside Outbound,Monday-Friday,Union,10:20 AM,Floral & Main,10:29 AM,Main & Murray,10:35 AM,UDC,10:45 AM,,
Westside Outbound,Monday-Friday,Union,11:25 AM,Floral & Main,11:34 AM,Main & Murray,11:40 AM,UDC,11:50 AM,,
Westside Outbound,Monday-Friday,Union,11:40 AM,Floral & Main,11:49 AM,Main & Murray,11:55 AM,UDC,12:05 PM,,
Westside Outbound,Monday-Friday,Union,12:00 PM,Floral & Main,12:09 PM,Main & Murray,12:15 PM,UDC,12:25 PM,,
Westside Outbound,Monday-Friday,Union,12:15 PM,Floral & Main,12:24 PM,Main & Murray,12:30 PM,UDC,12:40 PM,,
Westside Outbound,Monday-Friday,Union,12:50 PM,Floral & Main,12:59 PM,Main & Murray,1:05 PM,UDC,1:15 PM,,
Westside Outbound,Monday-Friday,Union,1:20 PM,Floral & Main,1:29 PM,Main & Murray,1:35 PM,UDC,1:45 PM,,
Westside Outbound,Monday-Friday,Union,1:55 PM,Floral & Main,2:04 PM,Main & Murray,2:10 PM,UDC,2:20 PM,,
Westside Outbound,Monday-Friday,Union,2:45 PM,Floral & Main,2:54 PM,Main & Murray,3:00 PM,UDC,3:10 PM,,
Westside Outbound,Monday-Friday,Union,3:00 PM,Floral & Main,3:09 PM,Main & Murray,3:15 PM,UDC,3:25 PM,,
Westside Outbound,Monday-Friday,Union,3:20 PM,Floral & Main,3:29 PM,Main & Murray,3:35 PM,UDC,3:45 PM,,
Westside Outbound,Monday-Friday,Union,4:25 PM,Floral & Main,4:34 PM,Main & Murray,4:40 PM,UDC,4:50 PM,,
Westside Outbound,Monday-Friday,Union,5:10 PM,Floral & Main,5:19 PM,Main & Murray,5:25 PM,UDC,5:35 PM,,
Westside Outbound,Monday-Friday,Union,5:45 PM,Floral & Main,5:54 PM,Main & Murray,6:00 PM,UDC,6:10 PM,,
Westside Outbound,Monday-Friday,Union,6:35 PM,Floral & Main,6:44 PM,Main & Murray,6:50 PM,UDC,7:00 PM,,
Westside Outbound,Monday-Friday,Union,6:50 PM,Floral & Main,6:59 PM,Main & Murray,7:05 PM,UDC,7:15 PM,,
Westside Outbound,Monday-Friday,Union,7:25 PM,Floral & Main,7:34 PM,Main & Murray,7:40 PM,UDC,7:50 PM,,
Westside Outbound,Monday-Friday,Union,8:15 PM,Floral & Main,8:24 PM,Main & Murray,8:30 PM,UDC,8:40 PM,,
Westside Outbound,Monday-Friday,Union,8:30 PM,Floral & Main,8:39 PM,Main & Murray,8:45 PM,UDC,8:55 PM,,
Westside Outbound,Monday-Friday,Union,9:45 PM,Floral & Main,9:54 PM,Main & Murray,10:00 PM,UDC,10:10 PM,,
Westside Outbound,Monday-Friday,Union,10:10 PM,Floral & Main,10:19 PM,Main & Murray,10:25 PM,UDC,10:35 PM,,
Westside Outbound,Monday-Friday,Union,11:00 PM,Floral & Main,11:09 PM,Main & Murray,11:15 PM,UDC,11:25 PM,,
Westside Outbound,Monday-Friday,Union,12:00 AM,Floral & Main,12:09 AM,Main & Murray,12:15 AM,UDC,12:25 AM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,7:40 AM,Leroy & Murray,7:43 AM,Riverside & Columbus,7:49 AM,Return to Campus,8:00 AM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,7:45 AM,Leroy & Murray,7:48 AM,Riverside & Columbus,7:54 AM,Return to Campus,8:05 AM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,8:15 AM,Leroy & Murray,8:18 AM,Riverside & Columbus,8:24 AM,Return to Campus,8:35 AM,,
Downtown Center Leroy Inbound,Monday-Friday,UDC,8:45 AM,Leroy & Murray,8:48 AM,Riverside & Columbus,8:54 AM,Return to Campus,9:05 AM,,
